Customer,Category,Product,Quantity,Price,Total_Sales,Date
Bob,Home Goods,Microwave,4.0,294.42,1177.68,2023-10-07
Hannah,Electronics,Laptop,9.0,372.1,0.0,2023-09-25
Hannah,Home Goods,Microwave,10.0,187.52,0.0,2023-09-07
Frank,Home Goods,Blender,2.0,212.69,425.38,2023-12-09
Frank,Automotive,Car Battery,8.0,351.09,2808.72,2023-03-07
David,Toys,Action Figure,2.0,,0.0,2023-12-02
Bob,Electronics,Tablet,10.0,293.6,2936.0,2023-06-03
Bob,Electronics,Tablet,10.0,98.03,980.3,2023-01-08
Bob,Toys,Puzzle,4.0,459.73,1838.92,2023-06-30
Charlie,Electronics,Tablet,1.0,352.67,0.0,2023-09-08
Frank,Electronics,Laptop,7.0,215.76,1510.32,2023-03-29
Frank,Home Goods,Toaster,4.0,401.66,1606.64,2023-08-25
Frank,Electronics,Laptop,1.0,29.1,0.0,2023-09-03
Grace,Apparel,Shoes,9.0,227.53,2047.77,2023-03-25
Alice,Apparel,Jacket,,,0.0,2023-09-14
David,Home Goods,Microwave,7.0,484.56,3391.92,2023-01-21
Charlie,Automotive,Oil Filter,6.0,57.55,0.0,2023-09-15
Bob,Toys,Board Game,5.0,228.53,1142.65,2023-04-22
Hannah,Electronics,Laptop,5.0,28.57,142.85,2023-03-21
Emma,Electronics,Smartphone,,232.97,0.0,2023-11-07
Alice,Home Goods,Blender,6.0,355.91,2135.46,2023-08-21
Grace,Electronics,Laptop,4.0,290.65,1162.6,2023-11-08
Charlie,Toys,Board Game,8.0,227.51,1820.08,2023-02-17
Bob,Home Goods,Blender,1.0,146.17,146.17,2023-07-24
Emma,Automotive,Tire,8.0,145.49,1163.92,2023-07-26
David,Automotive,Car Battery,2.0,395.7,791.4,2023-03-15
Alice,Home Goods,Microwave,7.0,,0.0,2023-04-26
Frank,Toys,Toy Car,1.0,389.58,389.58,2023-02-04
Frank,Home Goods,Microwave,4.0,222.59,890.36,2023-04-22
Emma,Electronics,Smartphone,8.0,131.5,1052.0,2023-03-30
Emma,Automotive,Oil Filter,6.0,37.65,225.9,2023-09-29
Alice,Home Goods,Vacuum Cleaner,3.0,478.9,1436.7,2023-10-14
Charlie,Automotive,Spark Plug,6.0,486.64,2919.84,2023-12-26
Bob,Home Goods,Microwave,6.0,266.67,1600.02,2023-09-29
Emma,Toys,Puzzle,7.0,384.69,2692.83,2023-04-09
Emma,Automotive,Car Battery,10.0,,0.0,2023-07-03
Emma,Toys,Toy Car,3.0,,0.0,2023-09-26
David,Toys,Toy Car,8.0,45.56,364.48,2023-07-31
Grace,Home Goods,Blender,3.0,68.68,206.04,2023-02-28
Grace,Home Goods,Toaster,6.0,476.45,2858.7,2023-10-01
Charlie,Automotive,Tire,6.0,262.37,1574.22,2023-12-29
Emma,Home Goods,Blender,7.0,107.6,753.2,2023-10-17
Grace,Automotive,Tire,10.0,205.18,2051.8,2023-06-28
Hannah,Electronics,Laptop,8.0,321.62,2572.96,2023-09-06
Grace,Toys,Action Figure,2.0,175.99,351.98,2023-09-18
Grace,Electronics,Tablet,5.0,106.73,0.0,2023-04-08
Frank,Toys,Board Game,4.0,70.84,283.36,2023-10-19
Bob,Apparel,Shirt,2.0,228.97,457.94,2023-01-12
Bob,Automotive,Oil Filter,10.0,450.95,4509.5,2023-01-16
David,Toys,Action Figure,6.0,,0.0,2023-01-10
Grace,Apparel,Pants,6.0,428.04,2568.24,2023-11-02
Charlie,Home Goods,Vacuum Cleaner,2.0,,0.0,2023-03-02
Grace,Home Goods,Vacuum Cleaner,8.0,118.05,944.4,2023-07-01
David,Toys,Puzzle,6.0,231.18,1387.08,2023-03-18
Hannah,Automotive,Spark Plug,9.0,290.16,2611.44,2023-12-30
David,Toys,Action Figure,6.0,171.0,1026.0,2023-01-09
Bob,Home Goods,Toaster,9.0,190.14,1711.26,2023-09-11
Alice,Apparel,Jacket,7.0,232.85,1629.95,2023-03-09
Bob,Apparel,Shoes,9.0,414.94,3734.46,2023-10-27
David,Toys,Puzzle,4.0,256.43,1025.72,2023-06-15
Charlie,Home Goods,Blender,10.0,138.59,1385.9,2023-01-25
Hannah,Home Goods,Toaster,4.0,327.64,0.0,2023-12-14
Frank,Apparel,Pants,8.0,230.01,1840.08,2023-06-16
Grace,Electronics,Laptop,,413.4,0.0,2023-11-18
Alice,Toys,Toy Car,1.0,205.65,205.65,2023-02-03
Bob,Toys,Action Figure,8.0,118.61,948.88,2023-06-10
Frank,Automotive,Oil Filter,3.0,166.17,498.51,2023-09-24
David,Apparel,Shoes,4.0,396.18,1584.72,2023-04-14
Bob,Toys,Board Game,7.0,334.19,2339.33,2023-03-27
Grace,Toys,Puzzle,9.0,391.77,3525.93,2023-02-09
Emma,Electronics,Laptop,2.0,6.84,13.68,2023-02-16
Charlie,Electronics,Tablet,1.0,418.2,0.0,2023-07-02
Grace,Electronics,Headphones,6.0,320.82,1924.92,2023-05-27
Alice,Home Goods,Blender,5.0,431.15,2155.75,2023-10-29
Emma,Home Goods,Toaster,9.0,101.8,916.2,2023-10-20
Hannah,Apparel,Pants,1.0,151.44,151.44,2023-03-13
Charlie,Toys,Action Figure,2.0,405.69,0.0,2023-10-28
Charlie,Automotive,Car Battery,1.0,171.37,0.0,2023-11-29
Frank,Home Goods,Vacuum Cleaner,6.0,333.13,1998.78,2023-10-27
Hannah,Home Goods,Microwave,6.0,298.01,1788.06,2023-09-22
Hannah,Automotive,Spark Plug,7.0,265.44,1858.08,2023-01-03
Grace,Automotive,Tire,6.0,140.32,0.0,2023-05-24
Hannah,Apparel,Pants,1.0,187.11,187.11,2023-07-12
Frank,Apparel,Jacket,8.0,372.93,2983.44,2023-07-24
Charlie,Apparel,Jacket,10.0,31.37,313.7,2023-06-02
Hannah,Electronics,Smartphone,2.0,48.38,96.76,2023-11-02
David,Home Goods,Microwave,1.0,420.75,420.75,2023-10-17
Bob,Electronics,Laptop,9.0,274.85,2473.65,2023-05-01
Bob,Apparel,Pants,8.0,100.2,801.6,2023-06-20
David,Electronics,Smartphone,2.0,264.29,528.58,2023-06-14
Hannah,Toys,Puzzle,8.0,210.33,1682.64,2023-06-16
Hannah,Apparel,Jacket,1.0,258.24,258.24,2023-01-06
Bob,Home Goods,Microwave,1.0,111.98,111.98,2023-01-02
Frank,Automotive,Oil Filter,4.0,287.79,1151.16,2023-03-13
Grace,Electronics,Tablet,3.0,324.45,973.35,2023-09-22
Frank,Apparel,Shirt,7.0,240.64,1684.48,2023-07-04
Grace,Toys,Toy Car,7.0,370.07,2590.49,2023-09-07
David,Toys,Action Figure,7.0,106.35,744.45,2023-10-27
Charlie,Automotive,Spark Plug,5.0,342.28,1711.4,2023-01-09
Hannah,Automotive,Oil Filter,9.0,303.22,2728.98,2023-03-21
Charlie,Toys,Board Game,9.0,23.68,213.12,2023-12-10
Bob,Electronics,Tablet,6.0,455.26,2731.56,2023-01-07
Bob,Automotive,Spark Plug,1.0,330.34,330.34,2023-05-09
Emma,Home Goods,Vacuum Cleaner,7.0,361.81,2532.67,2023-06-10
Emma,Electronics,Smartphone,1.0,32.54,32.54,2023-12-01
Emma,Home Goods,Toaster,3.0,155.38,466.14,2023-05-19
Frank,Apparel,Jacket,6.0,110.35,0.0,2023-05-18
Alice,Apparel,Pants,10.0,,0.0,2023-08-31
Bob,Electronics,Tablet,1.0,237.15,237.15,2023-11-10
Bob,Apparel,Jacket,4.0,123.36,493.44,2023-02-27
Hannah,Home Goods,Vacuum Cleaner,10.0,26.09,260.9,2023-01-15
Frank,Toys,Board Game,3.0,482.08,1446.24,2023-03-15
Charlie,Automotive,Spark Plug,9.0,121.99,1097.91,2023-02-23
Charlie,Automotive,Tire,7.0,495.69,3469.83,2023-03-21
Emma,Apparel,Pants,10.0,415.87,4158.7,2023-04-15
Charlie,Toys,Puzzle,3.0,20.51,61.53,2023-07-03
Frank,Automotive,Car Battery,5.0,149.4,747.0,2023-05-06
Emma,Apparel,Shirt,5.0,328.11,1640.55,2023-05-31
Alice,Home Goods,Blender,9.0,252.77,2274.93,2023-01-10
Frank,Electronics,Headphones,10.0,,0.0,2023-10-18
Alice,Apparel,Shirt,7.0,95.19,666.33,2023-07-15
Frank,Automotive,Tire,1.0,,0.0,2023-11-07
Hannah,Home Goods,Microwave,1.0,,0.0,2023-05-16
Frank,Electronics,Headphones,5.0,257.82,1289.1,2023-01-06
Alice,Home Goods,Vacuum Cleaner,5.0,196.15,980.75,2023-08-12
Bob,Apparel,Shirt,7.0,458.84,0.0,2023-11-25
Frank,Home Goods,Microwave,5.0,421.48,0.0,2023-10-12
David,Electronics,Laptop,4.0,70.67,282.68,2023-10-02
Charlie,Automotive,Tire,2.0,480.57,961.14,2023-04-16
Emma,Toys,Board Game,,436.94,0.0,2023-07-25
Frank,Apparel,Pants,5.0,69.87,349.35,2023-05-02
Bob,Home Goods,Microwave,8.0,32.82,0.0,2023-09-15
Hannah,Automotive,Spark Plug,,185.35,0.0,2023-03-02
David,Apparel,Pants,6.0,463.97,2783.82,2023-04-23
Grace,Electronics,Tablet,6.0,478.66,2871.96,2023-06-22
David,Home Goods,Toaster,2.0,291.89,583.78,2023-06-08
Alice,Electronics,Laptop,2.0,446.04,892.08,2023-10-27
David,Apparel,Pants,3.0,37.9,113.7,2023-01-24
Frank,Apparel,Jacket,,11.7,0.0,2023-07-04
Alice,Electronics,Smartphone,,82.1,0.0,2023-12-25
David,Toys,Action Figure,3.0,89.58,268.74,2023-02-28
Charlie,Toys,Toy Car,1.0,72.79,72.79,2023-11-20
Frank,Electronics,Tablet,7.0,362.46,0.0,2023-01-15
Grace,Toys,Toy Car,9.0,463.39,4170.51,2023-09-19
Bob,Automotive,Spark Plug,6.0,308.15,1848.9,2023-02-06
Frank,Electronics,Tablet,4.0,134.62,538.48,2023-07-20
Bob,Apparel,Shirt,9.0,297.05,2673.45,2023-01-24
David,Electronics,Laptop,,315.28,0.0,2023-04-22
Bob,Home Goods,Blender,10.0,323.98,0.0,2023-05-21
Grace,Electronics,Laptop,4.0,387.03,1548.12,2023-05-10
Frank,Toys,Board Game,9.0,102.97,0.0,2023-04-22
Grace,Apparel,Pants,5.0,246.3,1231.5,2023-04-22
Alice,Toys,Toy Car,4.0,175.31,0.0,2023-03-07
Hannah,Automotive,Spark Plug,1.0,160.93,160.93,2023-08-17
Bob,Apparel,Pants,9.0,,0.0,2023-03-05
Frank,Automotive,Tire,8.0,47.54,380.32,2023-04-29
Emma,Apparel,Shirt,1.0,97.0,97.0,2023-08-08
David,Automotive,Tire,3.0,251.59,754.77,2023-11-16
Charlie,Automotive,Car Battery,7.0,146.78,1027.46,2023-08-08
Grace,Apparel,Jacket,6.0,345.97,2075.82,2023-11-06
Grace,Home Goods,Toaster,9.0,476.79,4291.11,2023-06-22
Frank,Toys,Board Game,8.0,158.64,1269.12,2023-06-14
Charlie,Toys,Board Game,6.0,285.28,1711.68,2023-07-04
David,Automotive,Spark Plug,,464.3,0.0,2023-09-10
Emma,Home Goods,Vacuum Cleaner,9.0,,0.0,2023-11-30
Frank,Apparel,Jacket,10.0,421.55,4215.5,2023-07-19
Emma,Electronics,Headphones,6.0,256.17,1537.02,2023-02-05
Charlie,Toys,Puzzle,5.0,426.1,2130.5,2023-06-30
Hannah,Electronics,Headphones,5.0,101.95,509.75,2023-09-23
Bob,Toys,Puzzle,8.0,86.87,694.96,2023-04-06
Alice,Home Goods,Blender,9.0,460.43,4143.87,2023-03-05
Bob,Toys,Toy Car,3.0,121.45,364.35,2023-02-23
Grace,Automotive,Tire,9.0,52.09,468.81,2023-03-04
Emma,Electronics,Tablet,10.0,392.31,3923.1,2023-01-18
Grace,Apparel,Pants,4.0,368.22,1472.88,2023-08-07
David,Apparel,Jacket,6.0,241.1,1446.6,2023-05-11
Charlie,Electronics,Tablet,6.0,53.46,320.76,2023-07-04
Alice,Apparel,Shoes,9.0,305.2,0.0,2023-10-24
Grace,Home Goods,Toaster,4.0,44.0,176.0,2023-02-09
Alice,Home Goods,Toaster,5.0,248.05,0.0,2023-06-12
Grace,Automotive,Oil Filter,6.0,276.16,0.0,2023-10-03
Emma,Electronics,Tablet,3.0,282.35,0.0,2023-10-22
Alice,Home Goods,Microwave,10.0,133.18,0.0,2023-10-14
David,Automotive,Spark Plug,6.0,,0.0,2023-03-15
Hannah,Automotive,Spark Plug,,228.16,0.0,2023-07-31
Grace,Home Goods,Microwave,6.0,289.78,0.0,2023-09-29
Frank,Electronics,Tablet,6.0,262.24,1573.44,2023-04-16
Alice,Apparel,Shoes,7.0,485.45,0.0,2023-04-02
Frank,Toys,Action Figure,10.0,19.36,193.6,2023-08-12
Frank,Toys,Toy Car,8.0,265.15,2121.2,2023-05-10
Emma,Apparel,Shoes,,200.61,0.0,2023-09-14
Grace,Automotive,Spark Plug,1.0,212.33,212.33,2023-01-21
Charlie,Home Goods,Blender,3.0,485.06,1455.18,2023-05-08
Emma,Electronics,Laptop,2.0,96.41,192.82,2023-07-27
Frank,Automotive,Spark Plug,4.0,245.19,980.76,2023-08-24
Bob,Toys,Board Game,6.0,335.96,2015.76,2023-01-05
Grace,Toys,Action Figure,2.0,159.04,0.0,2023-02-01
Frank,Automotive,Car Battery,5.0,214.19,0.0,2023-02-01
Emma,Toys,Board Game,8.0,225.99,1807.92,2023-05-25
Grace,Automotive,Spark Plug,4.0,135.17,0.0,2023-07-27
Frank,Toys,Action Figure,7.0,459.96,3219.72,2023-09-09
Emma,Electronics,Tablet,9.0,108.65,977.85,2023-09-20
Frank,Automotive,Tire,10.0,119.5,0.0,2023-05-19
Emma,Apparel,Jacket,2.0,38.68,77.36,2023-01-02
Emma,Electronics,Headphones,10.0,208.81,2088.1,2023-08-04
Charlie,Apparel,Shoes,5.0,297.45,0.0,2023-05-14
Emma,Apparel,Jacket,6.0,391.75,2350.5,2023-07-16
David,Electronics,Tablet,4.0,209.62,838.48,2023-04-21
David,Apparel,Jacket,7.0,465.95,3261.65,2023-05-06
Hannah,Automotive,Spark Plug,8.0,304.57,2436.56,2023-07-30
David,Toys,Action Figure,5.0,480.63,2403.15,2023-02-28
Grace,Automotive,Tire,1.0,8.6,0.0,2023-07-10
Grace,Electronics,Headphones,2.0,492.37,984.74,2023-09-04
Frank,Home Goods,Blender,9.0,420.62,0.0,2023-07-29
Emma,Toys,Toy Car,10.0,40.21,402.1,2023-06-30
Alice,Electronics,Smartphone,4.0,43.88,175.52,2023-12-07
Alice,Automotive,Tire,5.0,55.52,277.6,2023-09-23
Alice,Apparel,Pants,10.0,160.82,1608.2,2023-07-30
Bob,Home Goods,Vacuum Cleaner,1.0,372.72,0.0,2023-02-09
David,Electronics,Headphones,8.0,342.27,2738.16,2023-06-29
Grace,Toys,Board Game,4.0,,0.0,2023-04-21
Emma,Toys,Board Game,7.0,407.28,2850.96,2023-08-11
Charlie,Home Goods,Blender,10.0,448.84,4488.4,2023-01-11
Charlie,Apparel,Shoes,6.0,333.52,2001.12,2023-03-15
Hannah,Automotive,Tire,10.0,145.15,1451.5,2023-09-15
Emma,Apparel,Shoes,7.0,381.04,2667.28,2023-03-30
Emma,Home Goods,Vacuum Cleaner,10.0,399.43,3994.3,2023-12-19
Grace,Home Goods,Blender,10.0,158.64,1586.4,2023-10-09
Bob,Electronics,Headphones,7.0,489.71,3427.97,2023-08-17
Charlie,Electronics,Smartphone,7.0,,0.0,2023-07-01
Charlie,Toys,Toy Car,7.0,,0.0,2023-01-03
Charlie,Apparel,Shoes,3.0,200.7,602.1,2023-03-17
Grace,Apparel,Pants,2.0,158.26,316.52,2023-02-03
Emma,Toys,Board Game,9.0,78.5,706.5,2023-07-27
Alice,Electronics,Laptop,5.0,361.75,1808.75,2023-06-01
Emma,Home Goods,Microwave,4.0,275.06,1100.24,2023-09-12
Bob,Apparel,Shirt,3.0,499.73,0.0,2023-02-26
Bob,Toys,Action Figure,1.0,400.86,400.86,2023-01-02
Frank,Automotive,Spark Plug,4.0,445.42,1781.68,2023-12-21
Bob,Electronics,Smartphone,1.0,189.39,189.39,2023-11-30
Charlie,Electronics,Headphones,7.0,257.49,0.0,2023-01-21
Grace,Home Goods,Vacuum Cleaner,1.0,256.04,256.04,2023-04-15
David,Home Goods,Vacuum Cleaner,7.0,326.43,2285.01,2023-10-02
Emma,Apparel,Shirt,6.0,8.67,52.02,2023-06-23
Emma,Home Goods,Toaster,3.0,103.93,0.0,2023-02-21
David,Toys,Puzzle,5.0,278.83,1394.15,2023-05-06
Bob,Electronics,Headphones,3.0,193.93,0.0,2023-07-26
Frank,Electronics,Smartphone,9.0,173.1,1557.9,2023-05-30
Emma,Toys,Action Figure,3.0,453.02,1359.06,2023-02-01
Charlie,Home Goods,Blender,10.0,356.55,3565.5,2023-05-09
Bob,Automotive,Spark Plug,9.0,373.89,3365.01,2023-03-14
Hannah,Toys,Action Figure,10.0,462.13,4621.3,2023-04-28
Grace,Home Goods,Toaster,8.0,452.58,3620.64,2023-08-22
Hannah,Apparel,Shoes,9.0,196.51,0.0,2023-04-18
